=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 5건 (1승 4패)
총 수익금: -53,431원 (-5.3%)
  ㄴ 승리 수익: +35,000원 (실제 수익률 합계)
  ㄴ 손실 금액: -88,431원 (실제 손실률 합계)

=== 총 승패: 1승 4패 ===
=== selection_date 이후 승패: 1승 4패 ===
=== 📊 최대 동시 보유 종목 수: 2개 ===
=== 🌅 12시 이전 매수 종목: 1승 4패 (승률 20.0%) ===
총 수익금: -53,431원 (-5.3%)
  ㄴ 승리 수익: +35,000원
  ㄴ 손실 금액: -88,431원

   🔴 450140 09:59 매수 → -2.50%
   🔴 036710 10:42 매수 → -2.50%
   🟢 042520 11:18 매수 → +3.50%
   🔴 397030 11:27 매수 → -1.34%
   🔴 109670 11:36 매수 → -2.50%

=== 001520 - 20250930 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-30 09:02:28
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:1,290 | 거래량:2,617,645 | 🔴회피(시가대비0.3%상승(2%미만차단)) | 신뢰도:0%
    11:30→11:33: 종가:18,870 | 거래량:25,415 | 🟢강매수 | 신뢰도:91%
    11:33→11:36: 종가:18,980 | 거래량:99,615 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:36→11:39: 종가:18,740 | 거래량:25,392 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:39→11:42: 종가:18,950 | 거래량:25,226 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:42→11:45: 종가:18,880 | 거래량:19,284 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:45→11:48: 종가:19,040 | 거래량:15,751 | 🔴회피(시가대비22.1%상승(22%이상차단)) | 신뢰도:0%
    11:48→11:51: 종가:18,930 | 거래량:9,903 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:51→11:54: 종가:18,750 | 거래량:12,586 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:54→11:57: 종가:18,720 | 거래량:9,482 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:57→12:00: 종가:18,750 | 거래량:7,245 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:00→12:03: 종가:18,890 | 거래량:10,895 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:03→12:06: 종가:18,880 | 거래량:6,120 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:06→12:09: 종가:18,670 | 거래량:11,059 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:09→12:12: 종가:18,740 | 거래량:7,562 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:12→12:15: 종가:18,600 | 거래량:3,115 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:15→12:18: 종가:18,730 | 거래량:5,940 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:18→12:21: 종가:18,750 | 거래량:4,809 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:21→12:24: 종가:18,550 | 거래량:3,153 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:24→12:27: 종가:18,730 | 거래량:9,205 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:27→12:30: 종가:18,630 | 거래량:3,451 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:30→12:33: 종가:18,730 | 거래량:5,918 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:33→12:36: 종가:18,790 | 거래량:6,793 | 🔴회피(신뢰도95%이상차단) | 신뢰도:0%
    12:36→12:39: 종가:19,170 | 거래량:29,044 | 🔴회피(시가대비22.9%상승(22%이상차단)) | 신뢰도:0%
    12:39→12:42: 종가:19,390 | 거래량:42,573 | 🔴회피(시가대비24.3%상승(22%이상차단)) | 신뢰도:0%
    12:42→12:45: 종가:19,340 | 거래량:24,143 | 🔴회피(시가대비24.0%상승(22%이상차단)) | 신뢰도:0%
    12:45→12:48: 종가:19,120 | 거래량:20,423 | 🔴회피(시가대비22.6%상승(22%이상차단)) | 신뢰도:0%
    12:48→12:51: 종가:19,270 | 거래량:19,896 | 🔴회피(시가대비23.5%상승(22%이상차단)) | 신뢰도:0%
    12:51→12:54: 종가:19,010 | 거래량:17,588 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:54→12:57: 종가:19,130 | 거래량:12,116 | 🔴회피(시가대비22.6%상승(22%이상차단)) | 신뢰도:0%
    12:57→13:00: 종가:19,000 | 거래량:8,967 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:00→13:03: 종가:18,890 | 거래량:11,606 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:03→13:06: 종가:18,920 | 거래량:6,738 | 🔴회피(4단계패턴없음) | 신뢰도:0%
